Index,Issuer Code
1,ADIN
2,ALK
3,ALKB
4,AMEH
5,APTK
6,ATPP
7,AUMK
8,BANA
9,BGOR
10,BIKF
11,BIM
12,BLTU
13,CBNG
14,CDHV
15,CEVI
16,CKB
17,CKBKO
18,DEBA
19,DIMI
20,EDST
21,ELMA
22,ELNC
23,ENER
24,ENSA
25,EUHA
26,EUMK
27,EVRO
28,FAKM
29,FERS
30,FKTL
31,FROT
32,FUBT
33,GALE
34,GDKM
35,GECK
36,GECT
37,GIMS
38,GRDN
39,GRNT
40,GRSN
41,GRZD
42,GTC
43,GTRG
44,IJUG
45,INB
46,INHO
47,INOV
48,INPR
49,INTP
50,JAKO
51,JUSK
52,KARO
53,KDFO
54,KJUBI
55,KKST
56,KLST
57,KMB
58,KMPR
59,KOMU
60,KONF
61,KONZ
62,KORZ
63,KPSS
64,KULT
65,KVAS
66,LAJO
67,LHND
68,LOTO
69,LOZP
70,MAGP
71,MAKP
72,MAKS
73,MB
74,MERM
75,MKSD
76,MLKR
77,MODA
78,MPOL
79,MPT
80,MPTE
81,MTUR
82,MZHE
83,MZPU
84,NEME
85,NOSK
86,OBPP
87,OILK
88,OKTA
89,OPFO
90,OPTK
91,ORAN
92,OSPO
93,OTEK
94,PELK
95,PGGV
96,PKB
97,POPK
98,PPIV
99,PROD
100,PROT
101,PTRS
102,RADE
103,REPL
104,RIMI
105,RINS
106,RZEK
107,RZIT
108,RZIZ
109,RZLE
110,RZLV
111,RZTK
112,RZUG
113,RZUS
114,SBT
115,SDOM
116,SIL
117,SKON
118,SKP
119,SLAV
120,SNBT
121,SNBTO
122,SOLN
123,SPAZ
124,SPAZP
125,SPOL
126,SSPR
127,STB
128,STBP
129,STIL
130,STOK
131,TAJM
132,TBKO
133,TEAL
134,TEHN
135,TEL
136,TETE
137,TIKV
138,TKPR
139,TKVS
140,TNB
141,TRDB
142,TRPS
143,TRUB
144,TSMP
145,TSZS
146,TTK
147,TTKO
148,UNI
149,USJE
150,VARG
151,VFPM
152,VITA
153,VROS
154,VSC
155,VTKS
156,ZAS
157,ZILU
158,ZILUP
159,ZIMS
160,ZKAR
161,ZPKO
162,ZPOG
163,ZUAS
